reading from ../data/room14.txt
1436 T 26.5625
1437 T 26.625
1438 T 26.5625
1439 T 26.5625
1440 T 26.5625
1441 T 26.5625
1442 T 26.625
1443 T 26.5625
1444 T 26.5625
1445 T 26.5625
1446 T 26.5625
1447 T 26.5625
1448 T 26.5625
1449 T 26.5625
1450 T 26.5625
1451 T 26.5625
1452 T 26.5625
1453 T 26.5625
1454 T 26.5625
1455 T 26.5625
1456 T 26.5625
1457 T 26.5625
1458 T 26.5625
1459 T 26.5625
1460 T 26.5625
1461 T 26.5625
1462 T 26.5625
1463 T 26.5625
1464 T 26.5625
1465 T 26.5625
1466 T 26.5625
1467 T 26.5625
1468 T 26.5625
1469 T 26.5625
1470 T 26.5625
1471 T 26.5625
1472 T 26.5625
1473 T 26.5625
1474 T 26.5625
1475 T 26.5625
1476 T 26.5625
1477 T 26.5625
1478 T 26.5625
1479 T 26.5625
1480 T 26.5625
1481 T 26.5625
1482 T 26.5625
1483 T 26.5625
1484 T 26.5625
1485 T 26.5625
1486 T 26.5625
1487 T 26.5625
1488 T 26.5625
1489 T 26.5
1490 T 26.5625
1491 T 26.5625
1492 T 26.5625
1493 T 26.5625
1494 T 26.5625
1495 T 26.5625
1496 T 26.5625
1497 T 26.5625
1498 T 26.5625
1499 T 26.5625
1500 T 26.5625
1501 T 26.5625
1502 T 26.5625
1503 T 26.5625
1504 T 26.5625
1505 T 26.5625
1506 T 26.5625
1507 T 26.5625
1508 T 26.5625
1509 T 26.5625
1510 T 26.5625
1511 T 26.5625
1512 T 26.5
1513 T 26.5
1514 T 26.5625
1515 T 26.5625
1516 T 26.5625
1517 T 26.5625
1518 T 26.5625
1519 T 26.5625
1520 T 26.5
1521 T 26.5
1522 T 26.5
1523 T 26.5
1524 T 26.5
1525 T 26.5
1526 T 26.5625
1527 T 26.5625
1528 T 26.5625
1529 T 26.5
1530 T 26.5625
1531 T 26.5
1532 T 26.5625
1533 T 26.5
1534 T 26.5
1535 T 26.5625
1536 T 26.5
1537 T 26.5625
1538 T 26.5
1539 T 26.5625
1540 T 26.5
1541 T 26.5
1542 T 26.5625
1543 T 26.5
1544 T 26.5625
1545 T 26.5
1546 T 26.5
1547 T 26.5
1548 T 26.5
1549 T 26.5625
1550 T 26.5
1551 T 26.5625
1552 T 26.5
1553 T 26.5
1554 T 26.5
1555 T 26.5
1556 T 26.5
1557 T 26.5
1558 T 26.5
1559 T 26.5
1560 T 26.5
1561 T 26.5
1562 T 26.5
1563 T 26.5
1564 T 26.5
1565 T 26.5
1566 T 26.5625
1567 T 26.5
1568 T 26.5
1569 T 26.5
1570 T 26.5
1571 T 26.5
1572 T 26.5
1573 T 26.5
1574 T 26.5
1575 T 26.5625
1576 T 26.5
1577 T 26.5
1578 T 26.5
1579 T 26.5
1580 T 26.5625
1581 T 26.5
1582 T 26.5
1583 T 26.5
1584 T 26.5
1585 T 26.5625
1586 T 26.5
1587 T 26.5
1588 T 26.5
1589 T 26.5
1590 T 26.5
1591 T 26.5
1592 T 26.5
1593 T 26.5
1594 T 26.5
1595 T 26.5
1596 T 26.5
1597 T 26.5625
1598 T 26.5
1599 T 26.5
1600 T 26.5
1601 T 26.5
